title,keyword,keyword_id,position,previous_position,last_seen,search_volume,cpc,traffic,traffic_percent,traffic_cost,traffic_cost_percent,competition,number_of_results,keyword_difficulty
AWS Solution Architect Course | Get AWS Associate Certificate,AWS,1,4,4,2025-01-05,70,3.86,0,0.0,0,0.0,0.25,11000000,61.0
CSM Scrum Master Course Online - Today's Offer: Up To 51% Off,Scrum Master,8,3,3,2025-01-24,40,4.15,0,0.0,0,0.0,0.79,15000000,47.0
Online AWS CPE Course | Special Offer Get Flat 43% Off,AWS,1,4,4,2024-12-31,50,7.78,0,0.0,0,0.0,0.46,51200000,60.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,Scrum Master,8,4,4,2025-01-24,140,5.46,0,0.0,0,0.0,0.43,13800000,62.0
PMP® Exam & Certification | Flat 40% Off - Enroll Now,PMP,6,4,4,2025-01-06,50,2.59,0,0.0,0,0.0,0.33,6630000,37.0
Leading SAFe® 6 Certification | Special Offer: Get $250 Off,SAFe,7,4,4,2025-01-22,70,4.43,0,0.0,0,0.0,0.57,332000000,38.0
PMP® Exam & Certification,PMP,6,2,2,2025-01-21,40,5.31,0,0.0,0,0.0,0.26,51600000,56.0
PMP® Exam & Certification | Flat 40% Off - Enroll Now,PMP,6,5,5,2025-01-21,40,5.31,0,0.0,0,0.0,0.26,51600000,56.0
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,PMP,6,2,2,2025-01-15,70,3.18,0,0.0,0,0.0,0.45,19900000,18.0
CSM Scrum Master Course Online - Today's Offer: Up To 51% Off,Scrum Master,8,4,4,2024-12-31,40,3.4,0,0.0,0,0.0,0.56,32400000,64.0
SAFe® Agile Training & Exam | Special Offer: Get $250 Off,Scrum Master,8,3,3,2025-01-26,30,3.86,0,0.0,0,0.0,0.51,7270000,27.0
PMP® Course | Confidently Ace The PMP Exam,PMP,6,3,3,2025-01-01,110,4.18,0,0.0,0,0.0,0.57,48300000,35.0
PMP® Certification Course,PMP,6,5,5,2025-01-13,110,3.07,0,0.0,0,0.0,0.4,10200000,33.0
PMP® Exam & Certification | Flat 40% Off - Enroll Now,PMP,6,4,4,2025-01-24,40,2.18,0,0.0,0,0.0,0.4,4420000,34.0
Master ITIL 4 Foundation | 100% Exam Pass Guarantee,ITIL,5,3,3,2025-01-23,70,4.7,0,0.0,0,0.0,0.35,6040000,46.0
PMP® Certification Course | Flat 40% Off - Enroll Now,PMP,6,6,6,2024-12-27,170,9.78,0,0.0,0,0.0,0.62,35200000,59.0
Master ITIL 4 Foundation | 100% Exam Pass Guarantee,ITIL,5,3,3,2024-12-28,30,3.54,0,0.0,0,0.0,0.43,1190000,35.0
Master ITIL 4 Foundation | 100% Exam Pass Guarantee,ITIL,5,6,6,2024-12-28,30,3.54,0,0.0,0,0.0,0.43,1190000,35.0
ITIL Foundations Course | Clear ITIL Exam on 1st Attempt,ITIL,5,3,3,2024-12-31,40,6.34,0,0.0,0,0.0,0.38,11500000,32.0
Simplilearn PMP® Course - Limited Offer: Get $400 Off,Simplilearn,9,2,2,2025-01-02,70,1.88,0,0.0,0,0.0,0.16,4790000,38.0
Simplilearn® Courses | Online Certification Courses,Simplilearn,9,2,2,2024-12-29,70,1.88,0,0.0,0,0.0,0.16,4820000,44.0
CSPO® Certification - Special Offer: Flat $279 Off,CSPO,3,2,2,2024-12-31,30,46.86,0,0.0,0,0.0,0.23,54,14.0
Become CAPM® Ready in 3 Weeks | Ace CAPM® Exam in 1st...,CAPM,2,2,2,2025-01-16,70,5.62,0,0.0,0,0.0,0.4,952000,39.0
Become Certified Scrum Master | Limited-time Offer: $270 Only,Scrum Master,8,3,3,2024-12-31,90,3.19,0,0.0,0,0.0,0.51,16100000,67.0
Simplilearn Online Bootcamps | Online Certification Courses,Simplilearn,9,3,3,2025-01-05,30,7.87,0,0.0,0,0.0,0.85,568000,41.0
PMP® Exam & Certification | Special Offer: Get $400 Off,PMP,6,6,6,2024-12-31,30,3.77,0,0.0,0,0.0,0.19,29700,66.0
PMP® Exam & Certification - Flat 40% Off - Enroll Now,PMP,6,4,4,2024-12-31,40,7.75,0,0.0,0,0.0,0.61,28500000,31.0
Certified Scrum Product Owner® | Limited Offer: Flat $279 Off,Scrum Master,8,4,4,2025-01-16,90,2.62,0,0.0,0,0.0,0.39,512000,47.0
PMP® Certification Course,PMP,6,2,2,2025-01-22,50,2.61,0,0.0,0,0.0,0.24,21900000,46.0
TOGAF® Certification Exam Cost | TOGAF® Free Exam Retake,TOGAF,10,4,4,2025-01-13,30,1.94,0,0.0,0,0.0,0.3,384000,24.0
Master ITIL 4 Foundation - 100% Exam Pass Guarantee,ITIL,5,2,2,2025-01-23,50,2.49,0,0.0,0,0.0,0.53,4550000,30.0
